,varLongOUData,meanLongOUData,varLongOU,meanLongOU
/'SamplingRate500000Time100sOUProcess0'/'Dev1/ai0',0.17587383316794147,3.0034954949721158,0.18158003063970096,2.780869815439725
/'SamplingRate500000Time100sOUProcess0'/'Dev1/ai1',1.177587547457151,2.5467499969098757,1.1119810461246216,2.5910478931964587
/'SamplingRate500000Time100sOUProcess0 #1'/'Dev1/ai0',0.17554750255751103,2.9882491183735764,0.17974113663261662,2.7581858815723743
/'SamplingRate500000Time100sOUProcess0 #1'/'Dev1/ai1',1.177585424220155,2.5467443173571684,1.111982073956601,2.5910651484705816
/'SamplingRate500000Time100sOUProcess0 #2'/'Dev1/ai0',0.17458510162352256,2.9815047839900304,0.17631609984451216,2.733575224529606
/'SamplingRate500000Time100sOUProcess0 #2'/'Dev1/ai1',1.1775822776443132,2.546736733597986,1.1119830150788528,2.5910700665731476
/'SamplingRate500000Time100sOUProcess0 #3'/'Dev1/ai0',0.1740493223740639,2.9817855554022734,0.17598600832760397,2.7010915093780064
/'SamplingRate500000Time100sOUProcess0 #3'/'Dev1/ai1',1.177585956119947,2.5467452404346136,1.1119858289457025,2.5910810905915076
/'SamplingRate500000Time100sOUProcess0 #4'/'Dev1/ai0',0.17165916868068237,2.9673710431141864,0.17137605117811064,2.667116923425398
/'SamplingRate500000Time100sOUProcess0 #4'/'Dev1/ai1',1.17758767276598,2.5467432289478733,1.1119868511416053,2.591084796114268
/'SamplingRate500000Time100sOUProcess0 #5'/'Dev1/ai0',0.17180668322705808,2.961085860158329,0.1689435935629106,2.6402834063198513
/'SamplingRate500000Time100sOUProcess0 #5'/'Dev1/ai1',1.1775852616808986,2.5467436117762148,1.111988343760133,2.5910989673232243
/'SamplingRate500000Time100sOUProcess0 #6'/'Dev1/ai0',0.17142238547906397,2.9468025663158612,0.16610454983801745,2.6091458916528745
/'SamplingRate500000Time100sOUProcess0 #6'/'Dev1/ai1',1.1775875545612629,2.5467513907144492,1.1119878794643954,2.5911069610788138
/'SamplingRate500000Time100sOUProcess0 #7'/'Dev1/ai0',0.17009674653547524,2.9350419077678622,0.16374714407699573,2.579430628406481
/'SamplingRate500000Time100sOUProcess0 #7'/'Dev1/ai1',1.1775876488796628,2.546751588851917,1.1119882526372107,2.591111873583781
/'SamplingRate500000Time100sOUProcess0 #8'/'Dev1/ai0',0.16802091871546462,2.9308199808436184,0.1613691955136725,2.5527264435304655
/'SamplingRate500000Time100sOUProcess0 #8'/'Dev1/ai1',1.1775877660858405,2.5467538172898614,1.1119886341416916,2.5911209167809592
/'SamplingRate500000Time100sOUProcess0 #9'/'Dev1/ai0',0.16693816469048697,2.916636154660952,0.1586905889987272,2.5266965988393117
/'SamplingRate500000Time100sOUProcess0 #9'/'Dev1/ai1',1.1775877666882362,2.5467536964471864,1.1119883167390432,2.59113138308913
