,varprocesses,meanprocesses,vardiffent_process_params,meandiffent_process_params
/'SamplingRate500000Time10sBessel process'/'Dev1/ai0',1.3171392469425554,13.710985228403208,1.2780173042881278,13.90560730481252
/'SamplingRate500000Time10sBessel process'/'Dev1/ai1',24.444734712927477,32.02410400368108,22.59622603814556,31.54322305821412
/'SamplingRate500000Time10sBrownian bridge'/'Dev1/ai0',1.2493731064482778,14.09173853873185,3.4285842488977436,14.212289302992618
/'SamplingRate500000Time10sBrownian bridge'/'Dev1/ai1',22.39733989521449,29.98664237392195,20.628727293530726,30.05349665024425
/'SamplingRate500000Time10sBrownian excursion'/'Dev1/ai0',1.0801015009852295,14.082275203062231,1.2057569159136141,14.071456051387358
/'SamplingRate500000Time10sBrownian excursion'/'Dev1/ai1',19.043163751099048,30.127003126859538,20.87719619555243,30.700009873539745
/'SamplingRate500000Time10sBrownian meander process'/'Dev1/ai0',1.3710424090531461,14.112642144550625,1.2567216918832094,14.055187982080463
/'SamplingRate500000Time10sBrownian meander process'/'Dev1/ai1',24.905102909005084,30.078382225644212,21.970889015256677,30.840245641066097
/'SamplingRate500000Time10sBrownian motion'/'Dev1/ai0',1.4664327403671016,14.198529680859203,1.552952627914499,14.126700796353513
/'SamplingRate500000Time10sBrownian motion'/'Dev1/ai1',24.22394607555277,29.579272789966296,27.27758643054045,30.51709295104208
/'SamplingRate500000Time10sSymmetric Cauchy process'/'Dev1/ai0',1.5012007958153988,13.890502729069848,2.8713161809353607,14.193904720394652
/'SamplingRate500000Time10sSymmetric Cauchy process'/'Dev1/ai1',30.602843171931852,31.160556399081248,54.80016212292945,30.187791893346095
/'SamplingRate500000Time10sFractional Brownian motion process'/'Dev1/ai0',1.4437992587988129,14.091524055809233,1.4125794302082144,14.03108735125295
/'SamplingRate500000Time10sFractional Brownian motion process'/'Dev1/ai1',24.736447443441335,30.02080509354994,28.313288150471724,30.87224077033565
/'SamplingRate500000Time10sGamma process'/'Dev1/ai0',1.564588506125062,14.13012520351851,1.6039284974495214,14.30533153565867
/'SamplingRate500000Time10sGamma process'/'Dev1/ai1',33.77893718122744,29.8281098639467,35.50461348756565,29.40985503761585
/'SamplingRate500000Time10sGeometric Brownian motion process'/'Dev1/ai0',1.4209964946127374,14.520673802147645,1.3705998939773794,14.784676929475745
/'SamplingRate500000Time10sGeometric Brownian motion process'/'Dev1/ai1',24.29966372398736,27.737559333736552,24.82905975819983,26.831080207919143
/'SamplingRate500000Time10sInverse Gaussian process'/'Dev1/ai0',2.1193704647683242,14.152771205749065,1.7642239808397047,13.83272738749755
/'SamplingRate500000Time10sInverse Gaussian process'/'Dev1/ai1',48.94880438467995,29.80284255567921,39.16539988177777,31.920193644075347
/'SamplingRate500000Time10sMixed poisson process'/'Dev1/ai0',1.570468162012064,14.127197827358758,1.5620813234517783,14.168761972908124
/'SamplingRate500000Time10sMixed poisson process'/'Dev1/ai1',33.75480366889045,30.008177286021734,33.567616729101545,30.022528869616735
/'SamplingRate500000Time10sPoisson process'/'Dev1/ai0',1.5574281160722334,14.120060093282664,1.6166063185173665,14.183741118293195
/'SamplingRate500000Time10sPoisson process'/'Dev1/ai1',33.45776257092301,29.988287450466096,33.57723353337469,30.013750490447027
/'SamplingRate500000Time10sSquared Bessel process'/'Dev1/ai0',1.544472835855438,14.372428613058782,1.4947633243837768,14.578551258738399
/'SamplingRate500000Time10sSquared Bessel process'/'Dev1/ai1',32.13836363183123,28.921309273380558,29.82605101742032,28.03124165041554
/'SamplingRate500000Time10sVariance Gamma process'/'Dev1/ai0',1.4388385874334624,14.24255012095254,2.875614784451039,14.10756237576427
/'SamplingRate500000Time10sVariance Gamma process'/'Dev1/ai1',28.173082426276274,29.519498359221,29.154901451627655,30.641012763923246
"/'SamplingRate500000Time10sWiener process, or standard Brownian motion'/'Dev1/ai0'",1.3029809572584357,14.093103945321984,1.3869119329202506,14.256970487035218
"/'SamplingRate500000Time10sWiener process, or standard Brownian motion'/'Dev1/ai1'",20.635444011741374,30.167967276902388,24.816949485173584,29.934086883282596
/'SamplingRate500000Time10sGeneralized diffusion process'/'Dev1/ai0',1.043449065429124,14.157654481282442,1.1220763248807457,14.109747449090218
/'SamplingRate500000Time10sGeneralized diffusion process'/'Dev1/ai1',16.783528415310222,29.95481589060251,18.35871702220329,30.48512163964405
/'SamplingRate500000Time10sConstant elasticity of variance process'/'Dev1/ai0',1.5852857216867435,14.06583046335193,1.513083137847457,14.081343970938898
/'SamplingRate500000Time10sConstant elasticity of variance process'/'Dev1/ai1',30.114970887679927,30.374114092547874,25.632426524632137,30.61206671883619
/'SamplingRate500000Time10sCox-Ingersoll-Ross process'/'Dev1/ai0',0.6555886395908106,15.971214903758499,1.3412465058658212,15.66217798025663
/'SamplingRate500000Time10sCox-Ingersoll-Ross process'/'Dev1/ai1',2.2749058222057873e-06,20.005231227681787,20.649237812806895,21.976615929024845
/'SamplingRate500000Time10sOrnstein-Uhlenbeck process'/'Dev1/ai0',1.1944118075801795,14.074444501315826,2.4415611303911473,14.168900575068477
/'SamplingRate500000Time10sOrnstein-Uhlenbeck process'/'Dev1/ai1',21.13100900369253,30.450066693152927,19.79883886160842,30.409088308031105
/'SamplingRate500000Time10sVasicek process'/'Dev1/ai0',1.1447658201340405,14.09199613783914,1.1392829030957803,14.185331889156192
/'SamplingRate500000Time10sVasicek process'/'Dev1/ai1',19.125803165961074,30.201732208105756,19.114945784655824,30.16281573274951
/'SamplingRate500000Time10sGaussian noise process'/'Dev1/ai0',0.6713153687023133,14.06187131169241,0.6497162492306949,14.12311525659926
/'SamplingRate500000Time10sGaussian noise process'/'Dev1/ai1',6.895194652809966,30.37453694618178,6.80413341140558,30.399207868877543
/'SamplingRate500000Time10sFractional Gaussian noise process'/'Dev1/ai0',1.6828831109804312,14.129058684097785,0.6739559572494895,14.240029298357713
/'SamplingRate500000Time10sFractional Gaussian noise process'/'Dev1/ai1',7.126391229636976,30.25160573876363,7.009082133640047,29.832611875172883
/'SamplingRate500000Time10sBlue noise'/'Dev1/ai0',0.6732329932459028,14.106329578661564,3.6331252792061344,14.22773507403717
/'SamplingRate500000Time10sBlue noise'/'Dev1/ai1',7.048354887953963,30.24568670645517,6.707001479053178,29.869794647772615
/'SamplingRate500000Time10sBrownian (red) noise'/'Dev1/ai0',1.1927755399577356,14.232725097368682,1.468281094720553,14.319485859293353
/'SamplingRate500000Time10sBrownian (red) noise'/'Dev1/ai1',19.926439634457317,29.79114503683523,21.383260602596014,29.62598215806745
/'SamplingRate500000Time10sColored noise processes'/'Dev1/ai0',0.6529031156026766,14.16893023939462,0.6491686063625075,14.243556350627637
/'SamplingRate500000Time10sColored noise processes'/'Dev1/ai1',7.241600318367022,30.007348501107966,7.063406666277478,29.749947403970207
/'SamplingRate500000Time10sRed (Brownian) noise'/'Dev1/ai0',1.344437264388837,14.061493227032322,1.1366120653652623,14.174637511386598
/'SamplingRate500000Time10sRed (Brownian) noise'/'Dev1/ai1',23.43629848841227,30.518758167206926,18.529055132078255,30.145998018037762
/'SamplingRate500000Time10sPink (flicker) noise'/'Dev1/ai0',1.7532113677549273,14.169064965809891,0.7496995630355634,14.230540116907687
/'SamplingRate500000Time10sPink (flicker) noise'/'Dev1/ai1',8.924513685157091,29.936295799822343,8.437338967328538,29.828479651567733
/'SamplingRate500000Time10sViolet noise'/'Dev1/ai0',0.6627820607294951,14.157710743636732,0.6713368691535428,14.240846340538072
/'SamplingRate500000Time10sViolet noise'/'Dev1/ai1',6.577605535832046,30.094352351173246,6.66474310338891,29.869316588975817
/'SamplingRate500000Time10sWhite noise'/'Dev1/ai0',0.7393257781065612,14.1710628934394,0.6584644175130238,14.18779388167408
/'SamplingRate500000Time10sWhite noise'/'Dev1/ai1',6.871611073931709,29.908645626844372,7.413338100479063,30.124604239998686
